Переменная;Значения
глагол_купили;заказали|купили|приобрели|взяли|закупили
глагол_покупаем_товар;заказываем|покупаем|приобретаем|берем|закупаем
глагол_сделали;сделали|выполнили|организовали|осуществили|реализовали|провели|обеспечили
поиск_процесс;долго искали|подбирали|выбирали|пытались найти|пробовали найти|пытались отыскать
регулярность_наличия;всегда|часто|постоянно|обычно|регулярно|стабильно|как правило|уже не первый год|давно|уже много лет
статус_наличия;в наличии|есть на складе|готовы к отгрузке|есть в ассортименте|представлены в каталоге
скорость_доставки;вовремя|в срок|без опозданий|оперативно|быстро|по графику|день в день|точно ко времени|незамедлительно|мгновенно|без задержек|в кратчайшие сроки|моментально
без_претензий;без претензий|нареканий нет|вопросов нет|без проблем|результатом довольны|не возникло проблем|ожидания оправданы
рекомендация;рекомендую|советую|будем брать еще|однозначно лайк|респект|5 звезд|будем сотрудничать|смело обращайтесь|можно доверять|спасибо|благодарю|вы лучшие|молодцы|уважаю|удобно и выгодно|стоит своих денег|приятно иметь дело|теперь только к вам
связка_причина;так как|потому что|ибо|в связи с тем что|по причине того что
связка_следствие;поэтому|в итоге|в результате|как следствие|соответственно
союз_и;и|а также
союз_но;но|однако|зато|правда|хотя|тем не менее|при этом|впрочем|но все же
союз_причина;так как|потому что|ведь|поскольку|из-за того что|ибо
союз_следствие;поэтому|в итоге|так что|следовательно|соответственно|значит|в результате|по итогу
союз_если;если|когда|как только|в случае если|при условии что
вводное_слово;кстати|к слову|вообще|честно говоря|на самом деле|в принципе|между прочим|хочу сказать
вводное_время;на днях|недавно|в прошлом месяце|на прошлой неделе
цель_покупки;для работы|на объект|для ремонта|для строительства|в цех|на производство|для личных нужд|для стройки|для бизнеса
место_покупки;здесь|у них|в этом месте|у них на сайте|на этом складе|тут|в этой точке|у этой компании|у данной фирмы
документы;документы|бумаги|официальные бумаги|договоры|сертификаты|бухгалтерские документы|накладные
документы_творит;документами|бумагами|официальными бумагами|договорами|сертификатами|бухгалтерскими документами|накладными
отсутствие_негатива;не было проблем с|не возникло трудностей с|обошлось без ошибок с|без задержек с|без путаницы с
цена_сущ_муж;ценник|прайс
цена_опис_муж;адекватный|приемлемый|нормальный|рыночный|выгодный|доступный|разумный|конкурентный|не завышенный|оптимальный|привлекательный|низкий
цена_сущ_жен;цена|стоимость|расценка
цена_опис_жен;адекватная|приемлемая|нормальная|рыночная|выгодная|доступная|разумная|конкурентная|не завышенная|оптимальная|привлекательная|низкая|небольшая
цена_сущ_ср;предложение по стоимости|предложение
цена_опис_ср;адекватное|приемлемое|нормальное|рыночное|выгодное|доступное|разумное|конкурентное|заманчивое
поставщик_муж;поставщик|партнер|продавец
поставщик_опис_муж;надежный|проверенный|ответственный|добросовестный|толковый|серьезный|грамотный|профессиональный|достойный|честный|хороший|лучший
поставщик_жен;компания|фирма|организация|металлобаза|торговая база|площадка|данная фирма|эта организация
поставщик_опис_жен;надежная|проверенная|ответственная|добросовестная|толковая|серьезная|грамотная|профессиональная|достойная|честная|хорошая|отличная|лучшая
поставщик_ср;предприятие|юрлицо
поставщик_опис_ср;надежное|проверенное|ответственное|серьезное|известное
доставка_сущ_муж;транспорт|водитель|курьер
доставка_глагол_муж;приехал|прибыл|доставил|привез|был на месте|успел|пригнал|подъехал
доставка_опис_муж;быстрый|оперативный|аккуратный|пунктуальный
доставка_сущ_жен;доставка|отправка|отгрузка
доставка_глагол_жен;приехала|прибыла|подъехала|была на месте|поступила
доставка_опис_жен;быстрая|оперативная|аккуратная|пунктуальная|мгновенная|бесперебойная
товар_сущ_муж;товар|металлопрокат|металл|продукт|материал|прокат
товар_опис_муж;качественный|первоклассный|отличный|высококлассный|проверенный|достойный|хороший|нормальный|шикарный|безупречный|высококачественный
товар_сущ_жен;продукция|партия
товар_опис_жен;качественная|первоклассная|отличная|высококлассная|проверенная|достойная|хорошая|нормальная|шикарная|безупречная|высококачественная|нужная
товар_сущ_ср;изделие|железо|сырье|оборудование
товар_опис_ср;первоклассное|отличное|достойное|хорошее|нормальное|шикарное|безупречное
оценка1_хар_товар_ед_им;соответствует ГОСТ|в полном порядке|на высоком уровне|не вызывает вопросов|соответствует заявленной|соответствует ТУ|в пределах допуска|на уровне|соответствует описанию
оценка1_хар_товар_ед_род;соответствующей ГОСТ|подтвержденной документами|отличной|идеальной|соответствующей ТУ|выдерживающей нагрузки|соответствующей описанию
оценка1_хар_товар_ед_вин;соответствующую ГОСТ|подтвержденную документами|отличную|идеальную|соответствующую ТУ|выдерживающую нагрузки|соответствующую описанию
оценка1_хар_товар_мн_им;соответствуют ГОСТ|подтверждены документами|в полном порядке|на высоком уровне|не вызывают вопросов|отличные|идеальные|соответствуют ТУ|выдерживают нагрузки|в пределах допуска|на уровне|соответствуют описанию
оценка1_хар_товар_мн_род;соответствующих ГОСТ|подтвержденных документами|отличных|идеальных|соответствующих ТУ|выдерживающих нагрузки|соответствующих описанию
оценка1_хар_товар_мн_вин;соответствующие ГОСТ|подтвержденные документами|отличные|идеальные|соответствующие ТУ|выдерживающие нагрузки|соответствующие описанию
оценка2_хар_товар_ед_им;заявленная|проектная|требуемая|паспортная|регламентированная|необходимая|соответствующая ту
оценка2_хар_товар_ед_род;заявленной|проектной|требуемой|паспортной|регламентированной|необходимой|соответствующей ту
оценка2_хар_товар_ед_вин;заявленную|проектную|требуемую|паспортную|регламентированную|необходимую|соответствующую ту
оценка2_хар_товар_мн_им;заявленные|проектные|требуемые|паспортные|регламентированные|необходимые|соответствующие ту
оценка2_хар_товар_мн_род;заявленных|проектных|требуемых|соответствующих нормам|паспортных|регламентированных|необходимых|соответствующих ту
оценка2_хар_товар_мн_вин;заявленные|проектные|требуемые|паспортные|регламентированные|необходимые|соответствующие ту
сервис_сущ_муж;сервис|уровень обслуживания|подход к клиенту|процесс покупки
сервис_опис_муж;качественный|высокий|отличный|грамотный|профессиональный|удобный
сервис_сущ_жен;работа сотрудников|работа|услуга|поддержка|консультация
сервис_опис_жен;качественная|отличная|грамотная|профессиональная|приятная|слаженная|оперативная
сервис_сущ_ср;обслуживание|отношение|взаимодействие|сотрудничество
сервис_опис_ср;качественное|отличное|грамотное|профессиональное|приятное|вежливое|внимательное
упаковка_сущ_жен;упаковка
упаковка_опис_жен;целая|не нарушена|надежная|крепкая|аккуратная|добротная|заводская|без повреждений
персонал_сущ;менеджеры|сотрудники|консультанты|специалисты|работники|ребята|представители
персонал_опис;приветливые|внимательные|вежливые|грамотные|отзывчивые|компетентные|пунктуальные|квалифицированные|опытные|профессиональные|толковые
персонал_глагол;помогли|подсказали|проконсультировали|оформили|обслужили|согласовали|подобрали
бренд;СМУ|Стальметурал
бренд_опис;молодцы|профессионалы|надежные ребята|отличные поставщики
бренд_глагол;организовали|поставили|привезли|помогли|выручили|отгрузили
качество_компании;хорошая|проверенная|надежная|ответственная|отличная|достойная|лучшая|проверенная временем|добросовестная
плюсы;плюсом является|всегда радует|преимуществом является|достоинством является|к преимуществам относится|отличительной чертой является|важным преимуществом служит|весомым аргументом является
повтор_покупки;еще|снова|вновь|повторно|еще раз|опять
покупка_в_будущем;закажем|будем заказывать|купим|будем покупать|обратимся|воспользуемся услугами|будем обращаться|вернемся|будем брать|продолжим заказывать
регулярность;всегда|стабильно
благодарность;спасибо|благодарю|благодарствую|огромное спасибо|спасибо от всей души|реальное человеческое спасибо|уважаю|мое уважение|вы лучшие!|лучшие!|молодцы!|реально молодцы|работают на совесть|профессионалы своего дела|от души|все супер|реально профи
убеждение;реально|действительно|по-настоящему|однозначно|несомненно|на самом деле|без всяких сомнений|правда|по факту|стопроцентно|бесспорно
период_заказа;давно|уже не первый год|продолжительное время|много лет|уже долгое время|на протяжении долгого времени|на протяжении многих лет|с давних пор|года три-четыре|постоянно|лет пять|уже много лет|на постоянной основе|уже который год|давненько
сотрудничество;сотрудничаем|работаем|взаимодействуем|совместно работаем|заказываем у них|поддерживаем отношения|совместно трудимся|отдаем предпочтение этой фирме|являемся заказчиками этой компании|остаемся с этим партнером
выбор_компании;обратили внимание на|оформили заказ на сайте|позвонили в|заинтересовались|выбрали|отметили|выделили|заметили|предпочли|обратились в|наткнулись на|остановились на|отдали предпочтение|выделили среди других|связались с
скорость_обработки;быстро|сразу|оперативно|в кратчайшие сроки|сразу же|незамедлительно|без промедления|очень быстро|моментально
обработка_заказа;оформили заказ|обработали заявку|подтвердили заказ|обработали заказ|приняли заказ|оформили покупку|зарегистрировали заказ|запустили заказ в обработку|приняли заявку
согласование;согласовали|подобрали|одобрили|подтвердили|обработали|приняли заказ|оформили заказ
трудности_покупки;проблем с|затруднений с|неудобств с|трудностей с|ошибок с|неясностей с|несостыковок с|сложностей с|неприятностей с|нюансов с|хлопот с|путаницы с
отсутствие_проблем;не было|не возникло|не наблюдалось|не случилось|не выявилось|не имелось|не всплыло
соответствие_товара_общ;соответствует заявленным характеристикам|соответствует государственным стандартам|соответствует ТУ|отвечает заявленным параметрам|соответствует всем параметрам|соответствует установленным нормам|отвечает заявленным стандартам|оправдывает заявленные свойства|демонстрирует заявленные параметры|соответствует ГОСТ|соответствует описанию|подтверждает заявленные характеристики|соответствует регламенту
соответствие_товара_общ_мнч;соответствуют заявленным характеристикам|соответствуют государственным стандартам|соответствуют ТУ|отвечают заявленным параметрам|соответствуют всем параметрам|соответствуют установленным нормам|отвечают заявленным стандартам|оправдывают заявленные свойства|демонстрируют заявленные параметры|соответствуют ГОСТ|соответствуют описанию|подтверждают заявленные характеристики|соответствуют регламенту
ассортимент;выбор|ассортимент|перечень материалов|ряд материалов|выбор материалов|выбор металлопроката|ассортимент металлопроката
качество_ассортимента;широкий|хороший|обширный|богатый|широчайший|большой|огромный
обобщенный_товар;металл|металлопрокат|нужное|что требуется|основное|необходимое|продукция|все необходимое|все что требуется|весь металлопрокат|все нужное|все самое нужное
обобщенный_товар_мнч;все позиции|все товары|все ходовые товары|требуемые материалы|все требуемые материалы|основные позиции|все основные позиции|все ходовые позиции
качество_товара;качественный|дешевый|первоклассный|отличный|добротный|высококлассный|проверенный|достойный|отменный|хороший|нормальный|шикарный|отечественный|безупречный|высококачественный
вид_проката;листовой|сортовой|фасонный|трубный
наличие_мнч;в наличии|имеются в продаже|есть в наличии|есть на складе|имеются в наличии|в продаже
качество_результата;нужный|требуемый|необходимый|желаемый
для_чего_покупали;для стройки|для строительства|для ремонтных работ|для строительного объекта|для своего бизнеса|для фирмы|для компании
покупатели_ДП;покупателям|заказчикам|потребителям|партнерам|клиентам
качество_сотрудника_МНЧ;внимательные|вежливые|грамотные|отзывчивые|приятные в общении|компетентные|квалифицированные|опытные|профессиональные
работа_сотрудников;работают|ведут работу|предоставляют услуги|помогают в выборе товара|помогают с покупкой|действуют слаженно|обслуживают|консультируют
сервис;сервис|уровень обслуживания|подход к клиенту|сервисный процесс|клиентский сервис
качество_сервиса;качественный|первоклассный|отличный|высококлассный|проверенный|достойный|хороший|нормальный|норм|честный|приличный|адекватный
отношение;отношение к
качество_отношения;внимательное|профессиональное
компания_ИП;металлобаза|компания|фирма|организация|торговая база|торговая площадка металлопроката|точка продажи металлопроката
компания_ВП;поставщика с|фирму с|организацию с|предприятие с|производителя с|продавца с|компанию с
описание_цены_МНЧ;выгодными|доступными|привлекательными|разумными|низкими|умеренными|адекватными|оптимальными|подходящими|приемлемыми|конкурентными
описание_цены;низкая|небольшая|доступная|умеренная|приемлимая|выгодная|оптимальная|привлекательная|разумная|адекватная
цена_МНЧ;ценами|расценками|предложениями по стоимости|ценниками
доставка_глагол_прошедшее;привезли|доставили|прислали|поставили|отгрузили|отправили|пригнали
доставка_глагол_и_сущ;организовали доставку|осуществили поставку|организовали отгрузку|произвели отгрузку|выполнили поставку|реализовали доставку|осуществили отправку|организовали отправку|осуществили доставку
доставка_глагол;приходит|поступает|доставляется|прибывает|приезжает
качество_доставки;быстрая|оперативная|незамедлительная|мгновенная|бесперебойная|ускоренная
процесс_легкость;легко|просто|удобно|комфортно|без напряга|на изи|в легкую|без заморочек|беспроблемно|ненапряжно|с комфортом|без лишних движений|без волокиты|без бюрократии
цена_разговорная;недорого|дешево|бюджетно|по карману|не накладно|даром|за копейки|приемлемо|по божески|выгодно|экономно|демократично|адекватно|не разорит|доступно|вменяемо|гуманно|не кусается
глагол_купил_простой;купил|взял|заказал|приобрел|затарился|закупился|отоварился|набрал|прикупил|оформил|сделал заказ
вердикт_совет;берите|советую|рекомендую|обращайтесь|смело берите|можно брать|стоит брать|надо брать|смело обращайтесь|приходите|звоните им|не пожалеете
качество_разговорное;ровное|чистое|целое|новое|свежее|гладкое|аккуратное|без ржавчины|без косяков|без вмятин|не гнутое|нормальное на вид|приличное|без дефектов|без брака|не ржавое
реакция_менеджера;ответили сразу|быстро перезвонили|тут же набрали|всегда на связи|дозвонился сразу|трубку берут быстро|не ждал на линии|связались быстро|быстро вышли на связь
точность_заказа;все на месте|весь комплект|полный комплект|без недостачи|тютелька в тютельку|ровно столько сколько заказал|все пришло|ничего не забыли|полный порядок с количеством|по весу ровно|вес в норме|точный вес|без обвеса|весь заказ в сборе|ничего не потеряли
помощь_клиенту;выручили|спасли|помогли|подсобили|поддержали|вошли в положение|поняли ситуацию|пошли навстречу|не подвели|не кинули|не бросили|решили вопрос|разрулили|посодействовали|нашли выход
усилитель_эмоции;реально|конкретно|очень|весьма|крайне|дико|на все сто|мега|супер
время_сутки_разговорное;с утра|утром|днем|к вечеру|вечером|в обед|после обеда|до обеда|сегодня|вчера|на днях|недавно|только что|пару дней назад|в тот же день|день в день
обещание_факт;слово держат|как обещали|по договоренности|без пустых слов|сказали сделали|договоренности соблюдают|не кормят завтраками|выполняют обещания|держат марку|как договаривались
простота_заказа;в два клика|по звонку|по телефону|через сайт|через корзину|онлайн|дистанционно|удаленно|не выходя из дома|без визита в офис|по ватсапу|через мессенджер|напрямую
водитель_оценка;водитель молодец|водитель адекватный|водила норм|шофер толковый|водитель помог|водитель профи|водитель вежливый|водитель не тупил|водитель знает дорогу|с водителем повезло|нормальный мужик на доставке
локация_удобство;удобно забирать|легко найти|удобное расположение|близко|недалеко|по пути
фраза_все_ок;все ок|все норм|все гуд|все отлично|все супер|все четко|все классно|все в порядке|все путем|все тип-топ|все хорошо|порядок|полный порядок|все стабильно|все огонь|все как надо|огонь
товар_цвет_им;алюминиевые трубы|медные листы|латунные круги|бронзовая лента|титановый пруток|алюминиевые уголки|медные шины|цветной металлопрокат
товар_цвет_вин;алюминиевые трубы|медные листы|латунные круги|бронзовую ленту|титановый пруток|алюминиевые уголки|медные шины|цветной металлопрокат
товар_цвет_род;алюминиевых труб|медных листов|латунных кругов|бронзовой ленты|титанового прутка|алюминиевых уголков|медных шин|цветного проката
товар_цвет_ед;алюминиевая труба|медный лист|латунный круг|бронзовая втулка|титановый пруток|алюминиевый профиль
хар_цвет_им;чистота сплава|электропроводность|мягкость металла|химический состав|коррозионная стойкость|качество поверхности
хар_цвет_вин;чистоту сплава|электропроводность|мягкость металла|химический состав|коррозионную стойкость|качество поверхности
хар_цвет_род;чистоты сплава|электропроводности|мягкости металла|химического состава|коррозионной стойкости|качества поверхности
хар_цвет_ед;марка сплава|точность изготовления|пластичность
товар_пров_им;стальная проволока|вязальная проволока|пружинная проволока|колючая проволока|медная проволока|сварочная проволока|катанка
товар_пров_вин;стальную проволоку|вязальную проволоку|пружинную проволоку|колючую проволоку|медную проволоку|сварочную проволоку|катанку
товар_пров_род;стальной проволоки|вязальной проволоки|пружинной проволоки|колючей проволоки|медной проволоки|сварочной проволоки|катанки
товар_пров_ед;бухта проволоки|моток проволоки|катушка проволоки|пруток
хар_пров_им;временное сопротивление|пластичность|диаметр|качество отжига|цинковое покрытие|равномерность намотки
хар_пров_вин;временное сопротивление|пластичность|диаметр|качество отжига|цинковое покрытие|равномерность намотки
хар_пров_род;временного сопротивления|пластичности|диаметра|качества отжига|цинкового покрытия|равномерности намотки
хар_пров_ед;разрывное усилие|толщина цинка|марка стали|мягкость
товар_сетка_им;сварная сетка|сетка рабица|кладочная сетка|оцинкованная сетка|дорожная сетка|тканая сетка|штукатурная сетка
товар_сетка_вин;сварную сетку|сетку рабицу|кладочную сетку|оцинкованную сетку|дорожную сетку|тканую сетку|штукатурную сетку
товар_сетка_род;сварной сетки|сетки рабицы|кладочной сетки|оцинкованной сетки|дорожной сетки|тканой сетки|штукатурной сетки
товар_сетка_ед;рулон сетки|карта сетки|секция забора|арматурная сетка
хар_сетка_им;размер ячейки|диаметр проволоки|прочность сварки|геометрия ячеек|качество оцинковки
хар_сетка_вин;размер ячейки|диаметр проволоки|прочность сварки|геометрию ячеек|качество оцинковки
хар_сетка_род;размера ячейки|диаметра проволоки|прочности сварки|геометрии ячеек|качества оцинковки
хар_сетка_ед;толщина прутка|ровность полотна|надежность покрытия
товар_сорт_им;стальные круги|квадраты|стальные полосы|шестигранники
товар_сорт_вин;стальные круги|квадраты|стальные полосы|шестигранники|катанку|сортовой прокат
товар_сорт_род;стальных кругов|квадратов|стальных полос|шестигранников|катанки|сортового проката
товар_сорт_ед;стальной круг|квадрат|полоса|шестигранник|пруток
хар_сорт_им;марка стали|точность прокатки|геометрия профиля|качество поверхности|прямолинейность
хар_сорт_вин;марку стали|точность прокатки|геометрию профиля|качество поверхности|прямолинейность
хар_сорт_род;марки стали|точности прокатки|геометрии профиля|качества поверхности|прямолинейности
хар_сорт_ед;кривизна прутка|диагональ|твердость
товар_нерж_им;нержавеющие трубы|листы нержавейки|нержавеющие круги|уголки из нержавейки|полосы нержавеющие|квадраты нержавеющие
товар_нерж_вин;нержавеющие трубы|листы нержавейки|нержавеющие круги|уголки из нержавейки|полосы нержавеющие|квадраты нержавеющие
товар_нерж_род;нержавеющих труб|листов нержавейки|нержавеющих кругов|уголков из нержавейки|полос нержавеющих|квадратов нержавеющих
товар_нерж_ед;труба нержавеющая|лист нержавеющий|круг AISI|уголок|рулон нержавейки
хар_нерж_им;коррозионная стойкость|качество поверхности|зеркальность|химсостав стали|жаропрочность
хар_нерж_вин;коррозионную стойкость|качество поверхности|зеркальность|химсостав стали|жаропрочность
хар_нерж_род;коррозионной стойкости|качества поверхности|зеркальности|химсостава стали|жаропрочности
хар_нерж_ед;марка AISI|отсутствие царапин|матовость|пищевой допуск
товар_арм_им;шаровые краны|клиновые задвижки|обратные клапаны|дисковые затворы|фланцы|стальные вентили
товар_арм_вин;шаровые краны|клиновые задвижки|обратные клапаны|дисковые затворы|фланцы|стальные вентили|регулирующую арматуру
товар_арм_род;шаровых кранов|клиновых задвижек|обратных клапанов|дисковых затворов|фланцев|стальных вентилей|регулирующей арматуры
товар_арм_ед;шаровой кран|задвижка|обратный клапан|затвор|фланец|вентиль
хар_арм_им;класс герметичности|рабочее давление|строительная длина|плавность хода|надежность корпуса
хар_арм_вин;класс герметичности|рабочее давление|строительную длину|плавность хода|надежность корпуса
хар_арм_род;класса герметичности|рабочего давления|строительной длины|плавности хода|надежности корпуса
хар_арм_ед;условный диаметр|материал корпуса|тип присоединения|температурный режим
товар_креп_им;строительные болты|гайки|шайбы|саморезы|анкера|резьбовые шпильки|заклепки
товар_креп_вин;строительные болты|гайки|шайбы|саморезы|анкера|резьбовые шпильки|заклепки|такелаж
товар_креп_род;строительных болтов|гаек|шайб|саморезов|анкеров|резьбовых шпилек|заклепок|такелажа
товар_креп_ед;болт|гайка|шайба|анкер|шпилька|саморез|хомут
хар_креп_им;класс прочности|качество оцинковки|шаг резьбы|точность исполнения|защитное покрытие
хар_креп_вин;класс прочности|качество оцинковки|шаг резьбы|точность исполнения|защитное покрытие
хар_креп_род;класса прочности|качества оцинковки|шага резьбы|точности исполнения|защитного покрытия
хар_креп_ед;тип головки|длина резьбы|надежность фиксации|соответствие DIN
товар_рти_им;напорные рукава|клиновые ремни|манжеты|техпластины ТМКЩ|сальники|резиновые кольца|уплотнители
товар_рти_вин;напорные рукава|клиновые ремни|манжеты|техпластины ТМКЩ|сальники|резиновые кольца|уплотнители
товар_рти_род;напорных рукавов|клиновых ремней|манжет|техпластин ТМКЩ|сальников|резиновых колец|уплотнителей
товар_рти_ед;рукав высокого давления|ремень|манжета|рулон техпластины|сальник|уплотнитель
хар_рти_им;маслобензостойкость|эластичность резины|твердость по Шору|температурный режим|износостойкость
хар_рти_вин;маслобензостойкость|эластичность резины|твердость по Шору|температурный режим|износостойкость
хар_рти_род;маслобензостойкости|эластичности резины|твердости по Шору|температурного режима|износостойкости
хар_рти_ед;рабочее давление|срок службы|состав смеси|гибкость
товар_жд_им;рельсы Р65|железнодорожные накладки|подкладки|путевые костыли|стыковые болты|шпалы|клеммы
товар_жд_вин;рельсы Р65|железнодорожные накладки|подкладки|путевые костыли|стыковые болты|шпалы|клеммы
товар_жд_род;рельс Р65|железнодорожных накладок|подкладок|путевых костылей|стыковых болтов|шпал|клемм
товар_жд_ед;рельс|накладка|подкладка|шпала|костыль|болт
хар_жд_им;степень износа|прямолинейность|геометрия профиля|класс годности|отсутствие дефектов
хар_жд_вин;степень износа|прямолинейность|геометрию профиля|класс годности|отсутствие дефектов
